Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Female,Gender_Male,Type of Travel_Business travel,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction
23,991,3,2,2,3,2,2,2,2,3,3,4,4,5,2,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
31,2981,4,4,4,4,4,4,4,4,3,1,4,1,3,4,1,6.0,0,1,1,0,1,0,0,neutral or dissatisfied
67,228,4,4,4,2,1,4,1,1,1,1,5,2,4,1,0,0.0,0,1,1,0,1,0,0,satisfied
25,651,2,4,2,3,5,2,3,5,4,4,3,3,3,5,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
27,187,2,2,2,3,3,2,3,3,2,5,4,5,1,3,3,2.0,0,1,1,0,0,0,1,neutral or dissatisfied
37,223,3,5,0,2,4,0,4,4,3,5,5,3,5,4,0,0.0,0,1,0,1,0,0,1,neutral or dissatisfied
56,469,5,5,5,5,3,4,5,4,4,4,4,4,4,4,2,0.0,0,1,1,0,1,0,0,satisfied
38,1023,3,2,3,3,3,3,3,3,2,1,2,2,3,3,27,45.0,0,1,0,1,0,1,0,neutral or dissatisfied
45,1674,3,3,4,3,5,5,4,4,4,4,4,5,4,4,0,0.0,1,0,1,0,1,0,0,satisfied
64,152,4,5,5,5,4,4,4,4,3,5,3,1,4,4,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
25,223,5,0,5,1,4,5,4,4,3,3,4,4,5,4,8,14.0,0,1,1,0,1,0,0,satisfied
22,594,3,0,3,3,2,3,2,2,5,4,5,3,4,2,18,25.0,0,1,1,0,0,1,0,neutral or dissatisfied
43,2404,5,5,5,5,4,5,4,4,2,2,5,3,4,4,0,0.0,0,1,1,0,0,1,0,satisfied
49,372,2,2,2,2,4,4,5,4,4,4,4,3,4,5,0,0.0,1,0,1,0,1,0,0,satisfied
36,3485,2,4,2,2,4,4,2,4,4,4,4,1,4,2,0,0.0,0,1,1,0,1,0,0,satisfied
38,722,2,3,2,3,3,1,4,5,5,2,4,5,5,3,1,16.0,0,1,0,1,1,0,0,neutral or dissatisfied
37,174,1,2,1,3,4,1,4,4,1,1,3,1,3,4,0,10.0,0,1,1,0,0,1,0,neutral or dissatisfied
54,546,1,0,1,3,2,1,2,2,4,4,5,4,1,2,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
40,2586,2,3,2,3,4,2,4,4,1,1,4,2,3,4,0,17.0,1,0,0,1,0,1,0,neutral or dissatisfied
30,1092,2,4,2,1,3,2,3,3,5,4,5,1,3,3,66,61.0,1,0,0,1,0,1,0,neutral or dissatisfied
20,486,4,0,4,5,3,4,3,3,5,2,4,5,5,3,3,18.0,1,0,1,0,0,1,0,satisfied
22,2730,1,4,4,4,1,1,1,1,4,1,3,4,3,1,0,0.0,0,1,1,0,1,0,0,neutral or dissatisfied
49,402,2,2,2,2,2,2,2,2,2,1,4,2,4,2,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
24,515,1,2,2,4,1,2,1,1,2,4,4,3,3,1,69,57.0,1,0,0,1,1,0,0,neutral or dissatisfied
22,569,1,0,0,4,3,0,3,3,1,5,3,1,3,3,0,0.0,1,0,1,0,1,0,0,neutral or dissatisfied
50,189,2,4,2,5,5,4,4,1,1,2,1,5,1,5,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
36,377,3,3,3,3,3,3,3,3,4,2,3,1,3,3,28,7.0,1,0,1,0,0,1,0,neutral or dissatisfied
56,2040,4,4,4,4,5,5,4,4,4,4,4,4,4,4,2,4.0,1,0,1,0,1,0,0,satisfied
55,912,3,4,3,4,2,3,2,2,1,4,3,4,4,2,20,7.0,0,1,0,1,0,1,0,neutral or dissatisfied
23,1207,4,4,4,3,1,4,1,1,4,3,4,5,4,1,14,1.0,0,1,1,0,0,1,0,satisfied
49,328,4,1,1,1,4,5,2,3,3,4,3,1,3,4,0,0.0,1,0,1,0,0,1,0,satisfied
24,1129,3,3,3,1,5,3,5,5,4,5,5,5,5,5,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
50,551,1,3,1,4,5,1,5,5,1,3,3,3,4,5,0,0.0,0,1,0,1,0,0,1,neutral or dissatisfied
63,391,2,3,3,3,1,3,3,2,2,2,2,3,2,1,9,4.0,1,0,1,0,1,0,0,neutral or dissatisfied
33,312,1,2,2,2,1,1,1,1,2,4,3,2,3,1,11,52.0,0,1,1,0,1,0,0,neutral or dissatisfied
46,3057,3,3,3,3,4,5,4,4,4,4,4,3,4,4,0,0.0,1,0,1,0,1,0,0,satisfied
21,829,5,0,5,2,4,5,4,4,5,5,4,4,5,4,0,1.0,1,0,1,0,1,0,0,satisfied
77,2353,5,5,5,5,2,1,4,4,4,4,4,2,4,4,0,0.0,1,0,1,0,1,0,0,satisfied
52,1217,4,4,4,4,2,5,5,3,3,4,3,5,3,3,0,0.0,0,1,1,0,1,0,0,satisfied
56,1904,1,1,2,1,2,4,4,1,1,2,1,2,1,3,1,0.0,0,1,1,0,1,0,0,neutral or dissatisfied
63,1166,2,4,2,2,3,5,4,1,1,2,1,4,1,5,107,87.0,1,0,0,1,0,1,0,neutral or dissatisfied
31,1208,3,2,3,3,4,3,1,4,3,4,2,1,3,4,35,8.0,0,1,0,1,0,1,0,neutral or dissatisfied
24,143,4,4,4,3,2,4,2,2,1,2,3,2,4,2,4,26.0,1,0,1,0,0,1,0,neutral or dissatisfied
38,2054,2,3,3,3,2,3,3,2,2,2,2,2,2,1,0,0.0,1,0,1,0,1,0,0,neutral or dissatisfied
44,266,4,2,4,3,4,4,4,4,2,4,3,2,3,4,0,0.0,1,0,1,0,0,1,0,satisfied
47,1900,2,2,2,2,4,5,4,2,2,2,2,3,2,5,14,4.0,0,1,1,0,1,0,0,satisfied
49,3651,3,3,3,3,5,5,5,4,4,4,4,3,4,3,0,0.0,0,1,1,0,1,0,0,satisfied
40,2176,1,1,2,1,4,3,5,4,4,4,4,3,4,3,43,31.0,1,0,1,0,1,0,0,satisfied
41,1532,4,4,4,4,4,5,5,4,4,4,4,4,4,3,0,0.0,1,0,1,0,1,0,0,satisfied
57,2276,3,5,3,2,4,3,4,4,4,4,3,5,5,4,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
38,1569,2,5,5,5,5,3,4,2,2,3,2,2,2,2,0,2.0,1,0,1,0,1,0,0,neutral or dissatisfied
59,602,2,4,2,2,3,4,4,4,4,2,5,5,4,5,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
30,3038,3,3,3,3,3,3,3,3,5,3,5,4,5,3,1,0.0,1,0,1,0,1,0,0,satisfied
8,502,2,3,2,3,2,2,3,2,1,3,3,1,4,2,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
14,680,1,1,1,1,5,5,5,5,4,4,4,5,5,5,81,108.0,1,0,1,0,1,0,0,satisfied
61,1609,3,4,3,3,1,3,1,1,5,3,5,4,5,1,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
22,3182,3,4,4,4,3,3,3,3,1,2,4,1,4,3,41,34.0,0,1,1,0,1,0,0,neutral or dissatisfied
17,304,3,4,3,5,1,3,3,1,4,4,5,5,4,1,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
22,551,3,5,3,1,4,3,4,4,3,2,5,3,5,4,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
23,590,2,2,3,3,2,3,3,2,4,1,4,2,4,2,0,7.0,0,1,1,0,0,1,0,neutral or dissatisfied
29,1514,2,2,2,2,4,4,4,4,5,5,4,5,4,4,9,24.0,0,1,1,0,1,0,0,satisfied
54,3911,3,3,3,3,2,5,5,4,4,4,4,4,4,4,0,0.0,0,1,1,0,1,0,0,satisfied
24,488,1,0,1,4,4,1,4,4,4,5,5,1,2,4,106,90.0,0,1,1,0,0,1,0,neutral or dissatisfied
25,604,3,5,3,3,1,3,1,1,1,5,5,5,2,1,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
30,1237,4,4,4,4,5,5,5,5,2,5,3,3,2,5,0,0.0,0,1,1,0,1,0,0,satisfied
46,432,2,3,2,3,1,3,4,2,2,2,2,1,2,4,0,13.0,1,0,1,0,0,1,0,neutral or dissatisfied
43,1722,1,1,1,1,3,5,4,4,4,4,4,4,4,4,1,2.0,0,1,1,0,1,0,0,satisfied
24,1069,3,3,3,3,4,4,4,4,4,5,3,2,5,4,14,15.0,1,0,1,0,1,0,0,satisfied
44,2475,2,2,2,2,2,2,2,5,2,5,5,2,5,2,0,12.0,1,0,1,0,1,0,0,satisfied
66,919,4,4,4,1,3,5,4,1,1,4,1,4,1,3,74,61.0,0,1,0,1,1,0,0,neutral or dissatisfied
10,1448,2,1,2,4,5,2,4,5,1,3,3,4,4,5,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
34,409,3,5,3,2,1,3,1,1,5,5,5,4,4,1,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
48,1990,3,5,3,3,5,3,5,2,2,2,2,3,2,3,26,12.0,0,1,1,0,1,0,0,satisfied
30,2640,3,3,3,3,3,3,3,3,5,2,4,3,1,3,0,10.0,0,1,1,0,1,0,0,neutral or dissatisfied
27,1431,2,2,2,3,2,2,2,2,2,2,3,1,3,2,18,11.0,0,1,1,0,0,1,0,neutral or dissatisfied
67,2585,2,4,2,2,2,4,2,4,2,3,5,2,5,2,83,86.0,1,0,0,1,0,1,0,neutral or dissatisfied
11,986,1,4,1,4,4,1,2,4,1,5,3,3,4,4,0,9.0,0,1,1,0,1,0,0,neutral or dissatisfied
22,441,5,3,5,3,5,5,5,5,5,5,5,5,4,5,1,0.0,0,1,1,0,1,0,0,satisfied
72,1562,4,3,2,3,4,4,4,4,3,2,4,1,4,4,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
24,290,3,0,3,4,3,3,5,3,5,4,4,5,4,3,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
11,507,4,4,2,4,5,5,5,5,5,5,5,3,4,5,0,0.0,1,0,1,0,1,0,0,satisfied
45,675,1,0,0,4,2,1,5,2,2,5,3,2,4,2,84,74.0,0,1,1,0,0,0,1,neutral or dissatisfied
70,209,2,2,2,3,5,3,4,2,2,2,2,3,2,1,0,4.0,1,0,0,1,0,1,0,neutral or dissatisfied
26,1237,4,4,4,5,4,4,4,4,2,5,2,5,4,4,36,44.0,1,0,1,0,0,1,0,satisfied
48,2791,1,1,1,1,2,4,4,4,4,4,4,5,4,4,4,7.0,1,0,1,0,1,0,0,satisfied
70,354,2,4,2,3,3,4,4,4,4,2,5,5,4,5,16,22.0,0,1,0,1,1,0,0,neutral or dissatisfied
41,2174,3,3,3,3,1,3,1,1,4,1,4,1,4,1,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
45,3590,1,3,2,2,1,3,4,1,1,1,1,1,1,2,0,7.0,1,0,1,0,1,0,0,neutral or dissatisfied
70,1751,3,2,3,1,5,1,1,3,3,3,1,2,3,4,0,15.0,1,0,0,1,0,1,0,neutral or dissatisfied
37,2249,5,5,5,5,4,4,5,4,4,4,4,4,4,5,0,0.0,0,1,1,0,1,0,0,satisfied
63,1596,2,4,5,4,3,4,4,2,2,2,2,3,2,2,0,0.0,1,0,1,0,1,0,0,neutral or dissatisfied
25,259,2,4,2,4,4,2,2,4,2,1,2,4,3,4,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
48,2560,3,3,4,3,5,4,5,4,4,4,4,4,4,4,0,0.0,1,0,1,0,1,0,0,satisfied
43,599,4,4,4,4,3,4,5,4,4,4,4,3,4,3,0,0.0,1,0,1,0,1,0,0,satisfied
65,270,4,0,4,1,1,5,5,5,5,4,5,3,5,1,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
36,2350,4,4,4,4,5,1,5,5,5,5,5,4,5,4,7,10.0,0,1,1,0,1,0,0,satisfied
30,3189,3,3,3,3,5,5,5,5,3,2,4,5,4,5,0,0.0,0,1,1,0,1,0,0,satisfied
18,1608,5,5,5,5,4,4,4,4,2,3,3,4,2,4,0,0.0,1,0,1,0,1,0,0,satisfied
19,1542,5,5,5,1,1,5,2,1,5,3,4,3,3,1,0,0.0,1,0,1,0,0,1,0,satisfied
47,67,5,5,5,5,3,1,1,4,4,4,5,1,4,2,0,0.0,0,1,1,0,1,0,0,satisfied
28,247,2,2,2,3,5,2,5,5,3,4,5,5,4,5,25,17.0,0,1,1,0,1,0,0,neutral or dissatisfied
55,273,4,3,4,4,2,4,2,2,1,3,3,2,3,2,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
60,3387,1,1,2,1,4,4,5,4,4,4,4,4,4,5,23,19.0,1,0,1,0,1,0,0,satisfied
36,599,4,1,1,1,4,4,4,4,3,3,5,1,4,4,16,3.0,1,0,1,0,0,0,1,satisfied
51,692,2,4,4,4,2,2,2,2,2,5,3,4,3,2,0,0.0,0,1,1,0,0,0,1,neutral or dissatisfied
11,862,1,4,2,3,2,2,3,2,4,4,4,4,4,2,1,21.0,1,0,0,1,0,1,0,neutral or dissatisfied
67,452,3,4,3,2,5,4,4,1,1,3,1,5,1,4,10,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
57,451,1,2,2,2,1,1,1,1,4,5,4,3,4,1,0,8.0,0,1,1,0,0,1,0,neutral or dissatisfied
30,1846,4,4,4,4,5,5,5,5,3,4,4,5,5,5,0,0.0,1,0,1,0,1,0,0,satisfied
62,399,3,1,1,1,5,1,1,3,3,3,3,2,3,4,63,51.0,1,0,1,0,0,1,0,neutral or dissatisfied
44,591,3,3,3,3,5,4,1,5,5,5,5,2,5,2,0,0.0,1,0,1,0,1,0,0,satisfied
56,857,3,4,4,4,2,3,2,4,4,3,4,1,4,1,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
39,1661,3,3,5,3,5,5,4,4,4,5,4,3,4,4,0,0.0,1,0,1,0,1,0,0,satisfied
70,101,2,5,2,5,3,5,3,3,3,2,3,1,3,2,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
58,2186,3,3,5,3,3,4,5,3,3,3,3,5,3,4,0,0.0,1,0,1,0,1,0,0,satisfied
47,3755,5,5,5,5,5,5,5,3,3,3,3,3,3,4,5,5.0,1,0,1,0,1,0,0,satisfied
52,731,2,1,2,2,1,2,4,1,1,4,2,4,3,1,6,24.0,0,1,0,1,0,0,1,neutral or dissatisfied
56,118,5,5,5,5,1,1,4,4,4,4,4,1,4,3,0,0.0,1,0,1,0,1,0,0,satisfied
36,325,3,4,4,3,4,4,5,4,2,1,3,2,4,4,8,0.0,1,0,1,0,0,0,1,neutral or dissatisfied
53,689,2,4,2,3,5,3,3,5,5,2,3,3,5,3,0,0.0,0,1,0,1,1,0,0,neutral or dissatisfied
58,319,3,3,3,3,1,3,5,1,2,3,5,1,4,1,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
49,644,3,3,3,3,3,5,5,5,5,5,5,3,5,5,26,12.0,1,0,1,0,1,0,0,satisfied
36,1521,3,4,2,4,3,3,3,3,3,3,3,4,3,4,2,22.0,1,0,1,0,1,0,0,neutral or dissatisfied
56,140,4,1,1,1,2,3,3,2,2,2,4,3,2,4,15,21.0,0,1,1,0,1,0,0,neutral or dissatisfied
26,175,2,0,2,3,2,2,2,2,1,5,5,3,4,2,39,35.0,0,1,1,0,0,1,0,neutral or dissatisfied
46,647,3,3,3,4,2,4,3,3,3,3,3,2,3,4,0,1.0,1,0,0,1,0,1,0,neutral or dissatisfied
48,1105,3,4,3,4,3,2,1,3,3,3,4,3,3,5,13,0.0,1,0,0,1,1,0,0,neutral or dissatisfied
51,82,3,3,3,3,3,3,3,3,3,4,3,1,3,3,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
27,1042,3,3,3,4,5,3,5,5,2,5,4,3,5,5,26,13.0,1,0,1,0,0,1,0,neutral or dissatisfied
8,731,5,4,5,2,1,5,1,1,2,1,2,3,4,1,0,0.0,0,1,0,1,0,1,0,satisfied
35,669,2,5,2,4,2,2,2,2,5,2,5,5,4,2,2,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
31,1616,3,4,3,3,2,3,1,2,3,5,4,4,5,2,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
47,496,4,5,2,1,2,5,5,3,3,2,3,5,3,5,0,0.0,0,1,0,1,1,0,0,neutral or dissatisfied
51,594,2,2,2,1,1,1,2,2,2,2,2,3,2,4,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
40,119,5,3,4,3,5,5,5,5,1,4,2,4,1,5,0,0.0,1,0,1,0,0,1,0,satisfied
37,332,0,0,0,5,3,3,3,3,3,3,3,3,3,1,0,0.0,1,0,1,0,1,0,0,satisfied
46,391,3,3,3,3,2,4,5,5,5,5,5,4,5,3,2,0.0,0,1,1,0,1,0,0,satisfied
35,895,4,5,4,1,3,4,3,3,3,3,2,4,3,3,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
41,2562,2,2,2,2,5,5,4,4,4,4,4,4,4,3,6,0.0,0,1,1,0,1,0,0,satisfied
58,1192,1,4,1,4,3,1,4,3,4,4,4,5,4,3,2,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
25,416,2,2,1,3,5,1,5,5,2,3,4,4,3,5,39,41.0,0,1,1,0,0,1,0,neutral or dissatisfied
35,1477,1,1,1,5,1,2,2,3,1,3,2,2,4,2,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
38,2632,3,3,3,3,5,4,4,5,5,5,5,5,5,3,116,87.0,0,1,1,0,1,0,0,satisfied
43,2615,2,2,3,2,4,4,4,5,3,3,4,4,4,4,0,0.0,1,0,1,0,1,0,0,satisfied
39,3091,4,4,4,4,3,3,3,3,3,4,3,5,3,4,0,0.0,1,0,1,0,1,0,0,satisfied
45,2025,4,4,2,4,4,5,5,5,5,5,5,3,5,4,0,0.0,0,1,1,0,1,0,0,satisfied
47,3766,3,2,2,2,1,4,3,4,4,4,3,3,4,3,0,0.0,1,0,1,0,1,0,0,neutral or dissatisfied
44,315,4,5,3,5,4,4,4,4,2,1,2,1,2,4,1,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
44,152,4,3,3,1,5,4,5,5,5,5,5,5,5,5,0,0.0,0,1,1,0,1,0,0,satisfied
52,1766,4,5,4,4,4,5,5,4,4,4,4,5,4,3,0,0.0,0,1,1,0,1,0,0,satisfied
38,304,1,5,1,4,1,1,1,1,3,5,5,5,4,1,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
38,196,4,4,4,4,2,5,5,4,4,4,5,4,4,3,0,0.0,0,1,1,0,1,0,0,satisfied
24,1829,2,1,1,1,2,2,2,2,1,3,3,1,3,2,25,23.0,0,1,1,0,1,0,0,neutral or dissatisfied
47,377,4,4,4,4,4,4,5,5,5,5,5,4,5,5,4,0.0,0,1,1,0,1,0,0,satisfied
35,731,5,3,5,5,2,5,5,4,4,4,4,3,4,4,2,1.0,0,1,1,0,1,0,0,satisfied
21,641,3,2,4,3,5,4,5,5,4,1,2,2,3,5,5,18.0,1,0,0,1,0,1,0,neutral or dissatisfied
40,2967,3,3,3,3,5,5,5,3,3,3,3,4,3,5,0,0.0,0,1,1,0,1,0,0,satisfied
37,3420,4,4,4,4,5,5,4,5,5,5,5,3,5,3,0,0.0,0,1,1,0,1,0,0,satisfied
20,447,1,4,1,4,2,1,2,2,4,1,4,1,3,2,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
60,200,5,5,5,5,3,4,1,4,4,4,4,4,4,4,0,0.0,1,0,1,0,1,0,0,satisfied
63,678,4,2,4,4,3,4,3,2,2,4,2,2,2,4,15,25.0,1,0,0,1,0,1,0,neutral or dissatisfied
30,230,2,4,0,4,2,0,2,2,1,2,4,4,4,2,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
48,422,5,5,5,5,1,1,4,5,5,5,5,4,5,1,0,0.0,0,1,1,0,1,0,0,satisfied
